AARS,AASS,AATK,ABCA10,ABCA2,ABCA6,ABCA8,ABCC1,ABCC6,ABCD1,ABCE1,ABCG5,ABHD1,ABHD10,ABHD3,ABHD6,ABR,ABRA,ABTB1,ACADM,ACBD5,ACCN2,ACE2,ACLY,ACO2,ACOT12,ACP5,ACR,ACSBG2,ACSL3,ACSM1,ACTG2,ACTL7A,ACTL8,ACTN4,ACTR3,ACTR6,ACVR1C,ACY1L2,ACYP1,ADAM12,ADAM17,ADAM20,ADAM28,ADAM32,ADAM3A,ADAMTS10,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS20,ADAMTS5,ADAMTS7,ADAMTSL4,ADAT1,ADCY8,ADH4,ADIPOR1,ADK,ADMR,ADORA3,ADPN,ADPRHL2,Label
-0.620711,0.521278,-0.791945,-0.213762,-0.495382,0.338753,-0.679241,0.989378,0.342985,-0.488975,1.248929,0.140257,-0.304568,0.694402,-0.466964,0.312974,0.783792,0.77233,-0.441375,0.367824,0.573256,-0.304895,-0.286238,0.759787,0.637861,-0.475121,-1.446368,0.384711,-0.541093,0.778392,-0.182462,-1.004528,-0.250383,-0.051078,-0.451711,0.173338,0.568338,-0.228191,-0.569088,-0.960949,-0.405383,-1.136517,0.174347,-1.904864,0.949179,-0.636678,-0.624468,0.550277,0.108914,1.124682,-1.263614,-1.036119,0.673012,-0.641147,0.545701,-0.023849,-0.58396,0.862175,-0.059893,-0.130548,-0.612109,0.367271,0.234071,0
-0.822491,0.059338,0.54372,0.120908,-0.177792,0.075288,0.145933,0.100828,0.903243,-0.402773,0.383254,-0.393354,0.084882,-0.31546,-0.429481,-0.325942,1.069643,1.539853,-0.718816,0.816493,0.216972,0.604516,1.303413,0.216387,0.537265,-1.282872,-0.526824,0.128159,0.860073,0.021812,0.063813,-1.09482,-0.932758,0.994897,0.183995,-0.176874,0.852723,-1.096268,-0.801217,0.225628,0.524009,-1.025971,2.070617,0.173519,1.546773,0.478662,0.022304,0.047694,1.146412,0.119844,0.082435,-1.824277,0.543417,-0.83832,0.664718,0.3229,0.500504,-0.084532,0.613312,0.580319,-1.295527,0.822411,0.154268,0
0.072388,0.911399,-0.761132,-0.347323,-0.561117,-0.054599,0.916787,-0.710527,-1.209365,-1.368206,1.450203,-1.153021,-0.089764,1.463333,-0.738509,1.114453,-0.443299,-0.861715,-0.477985,0.266361,0.992157,-0.518273,-2.077757,0.471176,-0.175682,1.05639,-0.487122,-0.347039,-0.803002,1.674522,-0.608459,-0.913685,0.711647,1.956485,-0.959983,0.808296,1.38736,1.77589,-0.324265,-0.39573,-1.69241,0.933947,-1.735911,-0.03782,-1.059603,-1.250623,-0.762858,-0.262136,0.786947,2.000138,-1.494237,0.950618,-0.097456,-0.749716,0.560867,-0.706701,-1.135563,1.161934,-0.280072,-1.157154,0.169049,0.574073,-0.87346,0
1.711796,-0.588005,-0.482887,-1.715154,-0.786904,-0.059568,-0.246857,0.875032,-0.427308,-1.26084,0.676354,-1.328771,-0.077548,1.287956,-1.598577,1.590562,0.156716,-0.356728,0.372751,-0.099643,0.871193,0.268245,-1.233836,1.525176,1.155183,0.212132,-0.465343,0.614792,-1.296566,0.777422,-0.489951,-1.435382,0.802723,2.717929,-0.276818,1.022372,0.715093,0.565654,-1.470014,-0.163538,-0.756776,-1.265408,-1.1063,-0.497493,-0.104001,-1.374453,-0.649118,1.622401,-0.040062,2.096062,-0.749783,-0.134441,0.280454,-1.302042,0.570496,-0.93518,-0.751628,1.110818,-1.101344,-0.351947,-0.611787,1.001165,0.530584,0
0.894632,-1.6066,-0.693563,0.4205,-1.358822,-0.582993,-1.088265,0.848869,0.233301,-0.769874,1.157018,-1.299429,-0.002251,1.118366,-1.790602,1.066229,0.780261,-0.834967,0.719318,0.481048,0.329216,0.316008,-1.0687,1.218428,0.791642,1.205439,0.166519,1.020099,-0.803763,0.887743,-1.301759,0.228389,0.209552,2.595953,-0.261685,1.260758,1.117909,0.742109,-0.905394,0.413353,-0.88176,-0.863372,-1.1081,-0.353529,0.763518,-0.956691,0.224011,0.764831,0.131482,1.585348,-0.628617,1.415935,-0.364394,-1.159411,0.58282,-0.834518,-0.60485,0.667791,-0.991843,-0.420401,-1.041441,0.835932,-0.36441,0
0.370708,-1.00668,-0.941284,0.188343,-1.144264,0.020413,-1.775394,0.06472,0.614267,0.026224,0.09235,0.358684,0.745501,0.259845,-0.271153,-0.329603,1.497578,1.242388,0.669961,0.142932,-0.171943,0.842247,0.992743,-0.008624,0.837755,0.11568,-1.134279,0.171559,0.282963,0.066999,-1.67137,-0.053714,1.312879,0.885394,0.019243,0.269762,0.259549,-0.105609,0.279674,0.419326,0.552096,-0.854789,0.606179,-1.243812,0.689162,-1.112753,0.920218,0.585694,0.718735,-0.317955,-0.105566,-0.745952,0.472828,-0.304484,0.971656,0.365129,0.937804,-0.093904,0.382894,-0.322587,-1.858966,0.308219,0.131268,0
1.454272,-1.733768,-1.284623,0.712255,-1.498472,-0.184021,-1.992871,1.003318,0.018866,-1.045129,0.696884,-0.51322,-2.449419,1.252811,-1.485285,0.678324,0.849007,0.290898,0.239622,-0.063929,0.251153,0.30283,0.074186,1.477121,0.592043,-0.176498,-1.382069,1.029726,-0.407156,0.960553,-1.229146,0.103414,1.561872,0.469701,-0.33505,1.324745,1.534176,1.31273,-0.1772,0.442039,-0.092724,-1.006481,0.03342,-0.264385,1.561513,0.333271,0.044987,0.990788,0.156655,0.570442,-0.622278,1.570606,1.459585,-1.373138,1.33904,-0.442928,-0.082491,0.279882,-0.126743,-0.441247,-0.862008,0.237705,-0.476063,0
-0.19726,0.496073,1.424308,-0.252683,0.938954,0.071994,1.009997,-1.154781,0.827217,-0.098727,0.685445,-2.26894,0.83666,-0.428542,-0.667124,-0.212792,0.394754,0.010028,-0.700961,1.01682,0.070806,1.549607,0.956433,-0.090235,0.358059,0.075473,-0.319535,0.35264,0.022255,-0.237603,-0.626547,-0.011702,0.198089,3.091925,0.279005,-0.947334,-0.267815,-0.391412,-0.392858,-1.053737,0.884893,-0.139388,-0.906935,-3.314937,0.557422,-1.177299,0.24403,0.164561,1.253106,-0.899776,0.737827,-0.257306,-1.035552,-2.034217,0.13648,0.49601,0.971025,-0.769993,0.312137,1.149946,-1.174345,0.364202,0.76602,0
0.569163,-0.209363,-1.402354,-0.716634,-1.249571,0.090472,-1.394012,0.98699,-0.791736,-0.530772,0.697478,-1.263789,-0.232417,1.264773,-0.51547,0.701564,0.374703,-0.027113,-0.26481,0.64321,0.802877,-0.391443,0.059973,1.122641,0.828949,0.039021,-0.825394,0.167053,-0.810781,0.906383,0.211545,-0.557087,-0.345731,-0.597967,-0.621113,0.990681,0.954864,1.033344,-0.713179,0.137492,-0.327766,-0.242713,0.053006,-0.618213,0.969991,-0.168526,-0.415082,0.278196,-0.440533,0.468722,-0.462372,0.46747,0.440462,-0.672253,0.598388,0.683054,-0.076901,0.428841,-0.433796,-0.84066,-0.905293,0.793625,-0.802148,0
1.251692,-0.212137,-0.756785,0.722776,-0.923636,-0.475377,-0.225159,1.111949,-0.704205,-0.672854,1.121582,-0.728651,-0.203121,0.925519,-0.417347,1.326599,0.664771,0.02522,-0.113599,-0.022262,0.638873,0.231824,-0.238829,1.795094,0.971439,0.135907,-0.692397,0.002883,-0.30374,1.250474,-0.513306,-1.44214,-0.526451,0.407383,-0.848601,0.812176,0.473673,1.016907,-1.543696,-0.17921,-0.417358,-0.325365,0.302377,0.131784,1.240849,-0.669896,0.202699,-0.2229,-0.212672,0.286197,-0.902632,0.219292,-0.259575,-0.798725,1.193928,0.864886,-0.417956,1.091834,-1.271958,-0.964849,-0.410037,0.576591,-0.710076,0
0.967919,0.227848,0.188441,0.214386,-0.219838,-0.384147,-0.803222,0.383715,0.193915,-0.365013,-0.37116,-0.525199,-0.672819,0.96164,-2.92626,-0.265817,0.365503,0.513549,0.619591,-1.55633,-0.188525,1.371805,-0.009178,0.754337,0.625962,0.655861,-0.390425,0.76029,0.08304,-0.023744,0.090072,1.758349,0.505527,0.433248,0.243837,-0.442688,0.514028,0.655112,-1.57485,-0.049655,0.330166,-0.080622,0.547124,-0.127202,-0.134972,-0.603054,0.298261,0.861382,0.200113,0.531449,0.319191,1.192374,1.521376,-0.684635,1.407119,-1.134455,-0.130314,-0.391846,0.12692,0.334833,-0.743397,0.442222,-0.302632,0
0.206566,-0.456237,-0.186121,1.490404,-0.783844,0.65321,-0.589822,1.292801,-0.121329,-0.841444,0.568513,-0.517178,0.514399,-0.329059,-0.562556,-0.136708,1.326288,1.252865,-0.461096,-0.093339,0.37346,0.866016,0.935631,-0.084526,0.410495,0.181358,-0.563123,0.63078,0.49274,0.011445,-0.099756,-0.455043,-0.194877,0.70066,0.389407,-0.23696,-0.730558,-0.114854,-0.602167,-1.861513,1.295101,-0.912747,0.833569,-0.331868,1.703314,-0.499677,0.300364,-0.158687,0.888247,-0.071178,0.534326,0.016799,0.360889,-0.857555,0.800081,0.383559,0.655639,0.322156,0.328291,0.43636,-0.724894,1.330792,-0.97858,0
-0.297636,0.580743,-0.574881,-0.060593,-0.643526,-0.077804,0.124433,0.373217,-0.488474,-0.711373,1.138524,-0.899932,0.263383,1.090218,-0.766179,0.991408,0.525918,-0.215828,-0.432135,0.811997,1.054555,0.078927,-0.897208,0.163016,1.309519,0.675834,0.045793,-0.56601,-0.265305,1.134829,0.023399,-0.43927,-0.406291,0.859572,-0.734873,0.958406,0.454858,0.464841,-0.888172,0.534995,-0.279929,-0.046204,-0.266297,0.011788,0.568889,-0.169375,-0.7689,0.336964,-0.303097,0.414468,-0.7656,0.63404,0.671549,-0.533215,1.311579,-0.894213,-0.990998,0.899138,-0.120786,-1.142653,-0.379092,0.285394,-0.848831,0
1.156886,-0.631097,-0.042384,0.722223,-0.566427,-0.089241,0.028516,0.905004,-0.400311,-0.63428,1.225449,-0.620406,0.088764,0.897154,-0.528369,0.891089,0.312237,-0.044275,0.418362,0.02989,0.318581,0.00576,-0.636618,1.117987,0.547734,0.153503,-0.111896,0.011946,-0.56717,0.582722,-0.098542,-0.248981,-0.005115,0.225949,-0.582025,-0.009025,0.928789,0.865745,-0.424464,1.001971,-0.76541,-0.204825,0.092988,-0.386649,0.21124,-0.775801,0.056219,0.346756,-0.165004,0.094008,-0.95841,0.388208,0.236436,-0.808801,1.005619,-0.402964,-0.621201,-0.033468,-0.367125,-0.87451,-0.927797,0.240084,0.548294,0
0.440123,0.350643,-1.199079,-0.068426,-0.666395,-0.262171,-0.205045,-0.16304,-0.310353,-0.501471,1.60454,-0.490614,0.179972,0.774303,0.185829,0.188251,0.287793,-0.177262,-0.342963,1.571524,0.685924,-0.570314,-0.916498,0.352932,1.026267,-0.296456,-0.308805,0.090714,-0.732535,0.398707,0.126334,-0.519322,-0.011056,0.543197,-0.643623,0.403537,0.385241,0.232672,0.581121,0.201514,-0.586201,-1.24364,0.342671,-0.408211,2.205695,-0.624278,-0.154315,-0.056512,-0.534694,0.108278,-0.387551,-0.385919,0.496868,-0.508276,0.474221,-0.284684,-0.682079,0.573674,-0.25219,-0.341977,0.228153,-0.346404,-0.474867,0
0.614534,-0.947744,0.435539,-0.524731,-0.21914,-0.168569,0.171756,0.294051,0.052219,-1.171287,0.405876,-0.390017,0.997728,0.086985,0.281722,0.33431,0.568563,0.034769,-0.616575,0.999604,0.035844,-0.417899,0.678115,0.167835,-0.032401,-0.595924,0.033335,-0.679134,-0.088376,0.463939,-0.587019,-0.953446,-0.440767,-0.132598,-0.299311,0.312271,0.966405,-0.226831,0.343452,1.115031,-0.377306,0.116397,0.896569,-1.097753,0.638513,0.395559,-0.882377,-0.253739,0.438718,-0.71585,-0.596299,-0.649121,0.722815,-0.442499,-0.366437,0.489931,-1.73068,0.701125,0.412722,-0.314928,-1.762128,-0.967243,0.201708,0
0.20917,-0.833971,-1.435526,-0.278944,-1.458903,0.001836,-0.614923,0.583893,-0.779651,-0.688802,1.255875,-0.223826,-1.911732,1.542556,-1.388464,1.327814,-0.304045,-0.499663,-0.179886,0.486812,0.872843,-0.559683,-1.060588,1.363464,0.304991,0.941304,-0.090522,-0.566344,-0.724584,1.608652,-0.08532,-0.031842,-0.280423,0.210792,-0.730703,1.324697,1.619799,1.354717,-1.574881,1.170417,-1.226846,0.4513,-0.263728,0.510747,1.091517,-0.719547,-1.071321,0.030168,-0.873531,0.879313,-0.595951,1.529977,0.165281,-0.3475,1.368646,-1.112205,-0.92794,1.00235,-0.678136,-1.248759,-0.457112,0.227425,-0.838681,0
1.261724,-0.887605,0.400495,-0.510931,-0.646673,-0.160377,0.440213,0.576433,-0.738714,-0.74563,0.381676,-0.467725,-0.298298,0.614543,-0.921574,1.332081,0.118084,1.007173,0.090848,0.396205,0.0592,0.564,0.201225,1.188184,0.115681,0.697908,-0.371905,0.257552,-0.104085,0.18542,-0.375759,0.301357,-0.979749,0.596398,-0.511738,0.993942,0.905093,1.092033,-1.073845,1.331548,-0.641283,1.480024,0.166908,-0.012537,0.085094,-1.392935,-0.37704,0.07091,-0.456036,0.327412,-1.016555,0.468705,0.313124,-0.810196,1.514132,-0.909184,-0.653628,1.075322,-0.084526,-0.904767,-1.099858,0.119357,-0.388274,0
0.492267,-0.186711,-0.423347,-0.611473,-0.485952,0.120037,0.577187,0.152955,-0.389514,-0.61276,0.805684,-0.427969,0.459939,0.549813,0.29045,0.356946,0.27161,0.073386,-0.670909,1.378987,0.401992,0.201096,-0.644897,0.353902,0.497023,0.842316,-0.611295,-0.797461,-0.795042,0.770972,-0.196035,0.270989,-0.388618,-1.086609,-0.570928,0.648579,1.119489,0.401428,0.437962,0.444739,-1.135232,-0.000462,0.307539,0.200432,0.534924,-0.626483,-0.537103,0.107534,-0.092268,0.637003,-1.01128,0.413586,1.322202,0.012488,0.384018,-0.300243,-0.66321,1.251134,-0.085563,-0.805649,0.101811,-0.487747,0.179997,0
1.45227,-0.463838,0.05967,0.396579,-0.481161,-1.099753,0.741767,0.528687,-0.798099,-0.743025,0.775987,-0.89696,0.490171,0.845738,-0.114268,0.757899,-0.032434,-0.249149,0.329972,1.231448,0.278186,0.354819,-1.16899,1.016021,0.2531,0.077382,-0.246728,-0.409675,-0.990525,0.754864,-0.232152,-0.973088,-1.237711,-0.833806,-0.882692,0.801279,1.486211,0.832194,-0.239687,1.72539,-1.336609,0.24874,0.294768,-0.004782,0.097349,-0.738405,-1.10929,-0.176048,-0.674759,0.83593,-0.93577,0.434096,-0.131501,-0.59332,1.69868,-0.899129,-1.818878,0.888197,-0.471984,-1.387053,-0.702058,-0.217571,-0.239099,0
1.1455,-1.231554,-1.244827,-1.089807,-1.637691,-1.071545,-1.004969,0.711168,-0.737622,-0.481291,1.469833,-0.95488,0.065909,1.00767,0.713003,1.043134,0.552462,-0.054855,-0.209925,0.615791,0.627319,0.457617,-0.67445,0.962413,0.870507,1.456535,-0.050892,-0.645611,-1.453351,0.810859,-0.292165,0.474778,-1.981525,-0.232555,-0.983371,1.161153,0.900543,0.882035,0.229085,1.402534,-1.586835,-0.520745,0.044397,0.105269,0.231262,-0.837774,-0.231047,0.105527,-0.663122,0.78397,-1.33452,0.388532,-0.374954,-0.302613,0.214455,0.2644,-1.496045,1.63409,-0.886543,-1.597466,-2.046994,0.526541,-0.134996,0
